region,gr,84.004,84.010,84.011,84.013,84.041,84.060,84.141,84.144,84.149,84.165,84.184,84.196,84.215,84.282,84.287,84.295,84.299,84.330,84.336,84.350,84.351,84.354,84.356,84.358,84.360,84.362,84.363,84.365,84.366,84.367,84.368,84.369,84.371,84.374,84.377,year
california,0.886614336240448,755812,325619276,129073062,1348033,107291334,4756689,3553949,0,2892755,20923581,11458565,6856136,41468190,64909568,122680463,0,1478888,10757186,6776697,4516331,3593175,0,0,4642557,3530384,0,4464444,154548861,16775147,86951610,0,27711541,0,22237337,64589980,2013
colorado,0.776542967788517,667594,30728232,6987461,529050,28933844,650435,467750,60000,827529,3433666,49623,620653,525741,13958281,10743393,0,0,701150,0,512603,0,0,0,1462033,2397539,0,0,12191815,1624970,6593832,0,6297185,0,21243683,5509793,2013
connecticut,0.897470265435382,0,24933338,0,1192021,4117482,30119,0,0,0,10952686,1553195,499502,2483213,1777032,7665068,0,0,334680,0,341968,0,0,0,441210,2415195,0,0,6870746,935396,5600724,0,5213772,0,1618545,3827835,2013
delaware,0.873131447410401,0,8304687,289864,445562,30244,0,0,120000,0,0,0,186204,481246,350000,5373453,0,0,60750,0,281561,0,0,0,132205,0,0,0,1198888,705964,2810384,0,3548815,0,0,1550685,2013
district of columbia,0.625582068690096,0,8492673,0,216054,624565,0,0,0,0,0,0,184482,14926868,2680014,5373453,13995051,0,42000,0,0,6724355,0,0,0,0,646887,0,1727333,705964,2810384,0,3260458,0,0,1573847,2013
florida,0.766503309324509,687680,137243675,22567123,1172154,8072458,107351,680174,60000,249439,16260398,0,3274156,3942310,10024729,55689274,0,0,0,0,1687637,802666,0,0,2668349,2275775,0,1470349,40731151,7862206,26681828,0,13812502,0,11273712,28013585,2013
georgia,0.746192931025867,0,100116377,7833904,1205741,20046226,0,444995,0,411092,0,0,2106646,4132334,108810,36292212,0,0,0,3627748,1025390,255012,0,0,5932633,1633844,0,725901,14599549,5161675,15517413,0,9695866,21220623,0,18002158,2013
hawaii,0.818976976208749,0,9338038,796996,356770,55922367,0,0,120000,0,0,0,230069,0,197667,5373453,0,0,99330,0,0,0,0,0,0,0,31750282,0,3795160,705964,2810384,0,3788936,0,0,1700754,2013
idaho,0.771390178727878,0,11877220,3543134,438493,3292848,311574,931136,60000,823315,0,0,244866,441228,391606,5373453,0,0,76500,0,0,0,0,0,1407489,0,0,0,1811976,705964,2814793,0,4146100,0,0,2127448,2013
illinois,0.860787161919442,0,134619958,1892998,1597785,33906402,192104,0,60000,0,0,49792,2857927,3364490,3546642,47444770,6018436,0,2191745,4883650,517857,1775289,0,0,3927905,5778124,0,1143677,29864386,5195808,23711711,0,11292072,0,0,23217134,2013
