region,long,lat,group,order,subregion,rho
new york,-73.8313369750977,40.7774085998535,37,9481,long island,0.455461189833822
new york,-73.8141555786133,40.8003273010254,37,9482,long island,0.455461189833822
new york,-73.8084259033203,40.7831344604492,37,9483,long island,0.455461189833822
new york,-73.7740478515625,40.7716789245606,37,9484,long island,0.455461189833822
new york,-73.7625885009766,40.7774085998535,37,9485,long island,0.455461189833822
new york,-73.7568588256836,40.8003273010254,37,9486,long island,0.455461189833822
new york,-73.7339401245117,40.8003273010254,37,9487,long island,0.455461189833822
new york,-73.7224807739258,40.8060531616211,37,9488,long island,0.455461189833822
new york,-73.7224807739258,40.8347015380859,37,9489,long island,0.455461189833822
new york,-73.7052917480469,40.8461608886719,37,9490,long island,0.455461189833822
new york,-73.682373046875,40.8404350280762,37,9491,long island,0.455461189833822
new york,-73.6651840209961,40.8175163269043,37,9492,long island,0.455461189833822
new york,-73.6594543457031,40.8232421875,37,9493,long island,0.455461189833822
new york,-73.6594543457031,40.8347015380859,37,9494,long island,0.455461189833822
new york,-73.6651840209961,40.8518905639648,37,9495,long island,0.455461189833822
new york,-73.6308059692383,40.8805389404297,37,9496,long island,0.455461189833822
new york,-73.5620498657227,40.9091873168945,37,9497,long island,0.455461189833822
new york,-73.5334091186524,40.9034576416016,37,9498,long island,0.455461189833822
new york,-73.5104827880859,40.8748092651367,37,9499,long island,0.455461189833822
new york,-73.4818420410156,40.8919982910156,37,9500,long island,0.455461189833822
new york,-73.493293762207,40.9149169921875,37,9501,long island,0.455461189833822
new york,-73.4818420410156,40.9321060180664,37,9502,long island,0.455461189833822
new york,-73.4646453857422,40.9378356933594,37,9503,long island,0.455461189833822
new york,-73.4188079833984,40.9091873168945,37,9504,long island,0.455461189833822
new york,-73.3901672363281,40.9091873168945,37,9505,long island,0.455461189833822
new york,-73.3729705810547,40.9321060180664,37,9506,long island,0.455461189833822
new york,-73.3500595092774,40.9321060180664,37,9507,long island,0.455461189833822
new york,-73.235466003418,40.9091873168945,37,9508,long island,0.455461189833822
new york,-73.2010879516602,40.9149169921875,37,9509,long island,0.455461189833822
new york,-73.1724395751953,40.9263725280762,37,9510,long island,0.455461189833822
new york,-73.1667098999024,40.9607543945313,37,9511,long island,0.455461189833822
new york,-73.1323318481445,40.9722099304199,37,9512,long island,0.455461189833822
new york,-73.0922241210938,40.9550247192383,37,9513,long island,0.455461189833822
new york,-72.9661712646484,40.9550247192383,37,9514,long island,0.455461189833822
new york,-72.8172073364258,40.966480255127,37,9515,long island,0.455461189833822
new york,-72.7026138305664,40.9722099304199,37,9516,long island,0.455461189833822
new york,-72.6338577270508,40.9893989562988,37,9517,long island,0.455461189833822
new york,-72.5765686035156,41.0123176574707,37,9518,long island,0.455461189833822
new york,-72.502082824707,41.0581550598145,37,9519,long island,0.455461189833822
new york,-72.4218673706055,41.1097183227539,37,9520,long island,0.455461189833822
new york,-72.3416442871094,41.144100189209,37,9521,long island,0.455461189833822
new york,-72.3072738647461,41.1555557250977,37,9522,long island,0.455461189833822
new york,-72.2614364624024,41.144100189209,37,9523,long island,0.455461189833822
new york,-72.2671661376953,41.1326370239258,37,9524,long island,0.455461189833822
new york,-72.2900848388672,41.1211814880371,37,9525,long island,0.455461189833822
new york,-72.3416442871094,41.1269111633301,37,9526,long island,0.455461189833822
new york,-72.3588409423828,41.0982627868652,37,9527,long island,0.455461189833822
new york,-72.3932189941406,41.0810737609863,37,9528,long island,0.455461189833822
new york,-72.4218673706055,41.0696144104004,37,9529,long island,0.455461189833822
new york,-72.4161376953125,41.0295066833496,37,9530,long island,0.455461189833822
new york,-72.4505157470703,41.0237808227539,37,9531,long island,0.455461189833822
new york,-72.4734268188477,40.9951286315918,37,9532,long island,0.455461189833822
new york,-72.502082824707,40.9836730957031,37,9533,long island,0.455461189833822
new york,-72.5307312011719,40.9836730957031,37,9534,long island,0.455461189833822
new york,-72.5479125976563,40.9722099304199,37,9535,long island,0.455461189833822
new york,-72.5651016235352,40.9492912292481,37,9536,long island,0.455461189833822
new york,-72.588020324707,40.9378356933594,37,9537,long island,0.455461189833822
new york,-72.6338577270508,40.9321060180664,37,9538,long island,0.455461189833822
new york,-72.6338577270508,40.9149169921875,37,9539,long island,0.455461189833822
new york,-72.6166687011719,40.9091873168945,37,9540,long island,0.455461189833822
new york,-72.5708312988281,40.9091873168945,37,9541,long island,0.455461189833822
new york,-72.5421905517578,40.8977279663086,37,9542,long island,0.455461189833822
new york,-72.5364608764649,40.8748092651367,37,9543,long island,0.455461189833822
new york,-72.5536422729492,40.8518905639648,37,9544,long island,0.455461189833822
new york,-72.5078048706055,40.8518905639648,37,9545,long island,0.455461189833822
new york,-72.4676971435547,40.8690795898438,37,9546,long island,0.455461189833822
new york,-72.4963531494141,40.8977279663086,37,9547,long island,0.455461189833822
north carolina,-75.8939895629883,36.5547065734863,38,9549,knotts,0.611862917615694
north carolina,-75.8596115112305,36.5547065734863,38,9550,knotts,0.611862917615694
north carolina,-75.8424224853516,36.5088691711426,38,9551,knotts,0.611862917615694
north carolina,-75.8252334594727,36.4515762329102,38,9552,knotts,0.611862917615694
north carolina,-75.8137741088867,36.3885498046875,38,9553,knotts,0.611862917615694
north carolina,-75.7793960571289,36.2911491394043,38,9554,knotts,0.611862917615694
north carolina,-75.7450256347656,36.2052040100098,38,9555,knotts,0.611862917615694
north carolina,-75.7278289794922,36.1536369323731,38,9556,knotts,0.611862917615694
north carolina,-75.7049179077148,36.1192588806152,38,9557,knotts,0.611862917615694
north carolina,-75.6819915771484,36.0619659423828,38,9558,knotts,0.611862917615694
north carolina,-75.6533508300781,36.021858215332,38,9559,knotts,0.611862917615694
north carolina,-75.5903244018555,35.9473724365234,38,9560,knotts,0.611862917615694
north carolina,-75.5788650512695,35.9072647094727,38,9561,knotts,0.611862917615694
north carolina,-75.5674057006836,35.8786201477051,38,9562,knotts,0.611862917615694
north carolina,-75.5502166748047,35.849967956543,38,9563,knotts,0.611862917615694
north carolina,-75.5387573242188,35.8213195800781,38,9564,knotts,0.611862917615694
north carolina,-75.5387573242188,35.8041305541992,38,9565,knotts,0.611862917615694
north carolina,-75.5502166748047,35.7926750183105,38,9566,knotts,0.611862917615694
north carolina,-75.5616760253906,35.7984046936035,38,9567,knotts,0.611862917615694
north carolina,-75.5731353759766,35.8041305541992,38,9568,knotts,0.611862917615694
